main_team,opponent_team,goal_fatti,no_goal,goal,tot_goals,goal_subiti,away_home,result,team_has_scored,giornata,goal_no_goal,team_has_conceded_goal,competition,position,playedGames,form,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,team_short_name,team_group
Milan,Udinese,4,False,True,6,2,home,Win,True,1.0,Goal,True,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Sampdoria,Atalanta,0,True,False,2,2,home,Loss,False,1.0,No Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Lecce,Inter,1,False,True,3,2,home,Loss,True,1.0,Goal,True,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Monza,Torino,1,False,True,3,2,home,Loss,True,1.0,Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Fiorentina,Cremonese,3,False,True,5,2,home,Win,True,1.0,Goal,True,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Lazio,Bologna,2,False,True,3,1,home,Win,True,1.0,Goal,True,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Salernitana,Roma,0,True,False,1,1,home,Loss,False,1.0,No Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Spezia,Empoli,1,True,False,1,0,home,Win,True,1.0,No Goal,False,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Verona,Napoli,2,False,True,7,5,home,Loss,True,1.0,Goal,True,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Juventus,Sassuolo,3,True,False,3,0,home,Win,True,1.0,No Goal,False,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Torino,Lazio,0,True,False,0,0,home,Draw,False,2.0,No Goal,False,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Udinese,Salernitana,0,True,False,0,0,home,Draw,False,2.0,No Goal,False,Serie A,15,29,,6,11,12,29,33,49,-16,Salernitana,2
Inter,Spezia,3,True,False,3,0,home,Win,True,2.0,No Goal,False,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Sassuolo,Lecce,1,True,False,1,0,home,Win,True,2.0,No Goal,False,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Empoli,Fiorentina,0,True,False,0,0,home,Draw,False,2.0,No Goal,False,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Napoli,Monza,4,True,False,4,0,home,Win,True,2.0,No Goal,False,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Atalanta,Milan,1,False,True,2,1,home,Draw,True,2.0,Goal,True,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Bologna,Verona,1,False,True,2,1,home,Draw,True,2.0,Goal,True,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Roma,Cremonese,1,True,False,1,0,home,Win,True,2.0,No Goal,False,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Sampdoria,Juventus,0,True,False,0,0,home,Draw,False,2.0,No Goal,False,Serie A,7,29,,18,5,6,44,47,24,23,Juventus,0
Monza,Udinese,1,False,True,3,2,home,Loss,True,3.0,Goal,True,Serie A,10,29,,9,12,8,39,39,36,3,Udinese,1
Lazio,Inter,3,False,True,4,1,home,Win,True,3.0,Goal,True,Serie A,5,29,,16,3,10,51,48,33,15,Inter,0
Cremonese,Torino,1,False,True,3,2,home,Loss,True,3.0,Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
Juventus,Roma,1,False,True,2,1,home,Draw,True,3.0,Goal,True,Serie A,3,29,,16,5,8,53,39,26,13,Roma,0
Milan,Bologna,2,True,False,2,0,home,Win,True,3.0,No Goal,False,Serie A,8,29,,12,7,10,43,38,36,2,Bologna,1
Spezia,Sassuolo,2,False,True,4,2,home,Draw,True,3.0,Goal,True,Serie A,12,29,,10,7,12,37,37,43,-6,Sassuolo,1
Salernitana,Sampdoria,4,True,False,4,0,home,Win,True,3.0,No Goal,False,Serie A,20,29,,3,6,20,15,18,50,-32,Sampdoria,2
Verona,Atalanta,0,True,False,1,1,home,Loss,False,3.0,No Goal,True,Serie A,6,29,,14,6,9,48,47,34,13,Atalanta,0
Fiorentina,Napoli,0,True,False,0,0,home,Draw,False,3.0,No Goal,False,Serie A,1,29,,24,2,3,74,66,21,45,Napoli,0
Lecce,Empoli,1,False,True,2,1,home,Draw,True,3.0,Goal,True,Serie A,14,29,,7,11,11,32,25,36,-11,Empoli,1
Sassuolo,Milan,0,True,False,0,0,home,Draw,False,4.0,No Goal,False,Serie A,4,29,,15,7,7,52,48,36,12,Milan,0
Inter,Cremonese,3,False,True,4,1,home,Win,True,4.0,Goal,True,Serie A,19,29,,2,10,17,16,26,54,-28,Cremonese,2
Roma,Monza,3,True,False,3,0,home,Win,True,4.0,No Goal,False,Serie A,13,29,,9,8,12,35,34,41,-7,Monza,1
Empoli,Verona,1,False,True,2,1,home,Draw,True,4.0,Goal,True,Serie A,18,29,,5,7,17,22,24,43,-19,Verona,2
Sampdoria,Lazio,1,False,True,2,1,home,Draw,True,4.0,Goal,True,Serie A,2,29,,17,7,5,58,46,20,26,Lazio,0
Udinese,Fiorentina,1,True,False,1,0,home,Win,True,4.0,No Goal,False,Serie A,9,29,,11,8,10,41,34,32,2,Fiorentina,1
Juventus,Spezia,2,True,False,2,0,home,Win,True,4.0,No Goal,False,Serie A,17,29,,5,11,13,26,25,45,-20,Spezia,2
Napoli,Lecce,1,False,True,2,1,home,Draw,True,4.0,Goal,True,Serie A,16,29,,6,9,14,27,25,35,-10,Lecce,2
Atalanta,Torino,3,False,True,4,1,home,Win,True,4.0,Goal,True,Serie A,11,29,,10,8,11,38,30,35,-5,Torino,1
