n_matches,main_team,team_group,competition,no_goal,no_goal_streak_weighted,goal_streak_weighted,tot_giornata,no_goal_streak_weighted_ratio,goal_streak_weighted_ratio,no_goal_ratio,goal_ratio,curr_giornata,last_giornata
11,Augsburg,0,Bundesliga,3,27.0,126.0,153.0,0.17647058823529413,0.8235294117647058,0.2727272727272727,0.7272727272727273,28,28.0
11,Augsburg,1,Bundesliga,4,48.0,118.0,166.0,0.2891566265060241,0.7108433734939759,0.36363636363636365,0.6363636363636364,28,28.0
6,Augsburg,2,Bundesliga,3,42.0,45.0,87.0,0.4827586206896552,0.5172413793103449,0.5,0.5,28,28.0
28,Augsburg,all,Bundesliga,10,117.0,289.0,406.0,0.2881773399014778,0.7118226600985221,0.35714285714285715,0.6428571428571428,28,28.0
11,Bayern Munich,0,Bundesliga,4,67.0,100.0,167.0,0.40119760479041916,0.5988023952095808,0.36363636363636365,0.6363636363636364,28,28.0
11,Bayern Munich,1,Bundesliga,3,20.0,139.0,159.0,0.12578616352201258,0.8742138364779874,0.2727272727272727,0.7272727272727273,28,28.0
6,Bayern Munich,2,Bundesliga,3,38.0,42.0,80.0,0.475,0.525,0.5,0.5,28,28.0
28,Bayern Munich,all,Bundesliga,10,125.0,281.0,406.0,0.3078817733990148,0.6921182266009852,0.35714285714285715,0.6428571428571428,28,28.0
12,Bochum,0,Bundesliga,9,120.0,65.0,185.0,0.6486486486486487,0.35135135135135137,0.75,0.25,28,28.0
11,Bochum,1,Bundesliga,5,78.0,61.0,139.0,0.5611510791366906,0.43884892086330934,0.45454545454545453,0.5454545454545454,28,28.0
5,Bochum,2,Bundesliga,1,23.0,59.0,82.0,0.2804878048780488,0.7195121951219512,0.2,0.8,28,28.0
28,Bochum,all,Bundesliga,15,221.0,185.0,406.0,0.5443349753694581,0.45566502463054187,0.5357142857142857,0.4642857142857143,28,28.0
11,Dortmund,0,Bundesliga,4,35.0,118.0,153.0,0.22875816993464052,0.7712418300653595,0.36363636363636365,0.6363636363636364,28,28.0
10,Dortmund,1,Bundesliga,4,61.0,84.0,145.0,0.4206896551724138,0.5793103448275863,0.4,0.6,28,28.0
7,Dortmund,2,Bundesliga,4,35.0,73.0,108.0,0.32407407407407407,0.6759259259259259,0.5714285714285714,0.4285714285714286,28,28.0
