main_team,team_group,away_home,competition,n_matches,no_goal,no_goal_streak_weighted,tot_giornata,no_goal_streak_weighted_ratio,no_goal_ratio,goal_ratio
Almeria,0,away,La Liga,4,2,20.0,40.0,0.5,0.5,0.5
Almeria,0,home,La Liga,6,3,65.0,105.0,0.6190476190476191,0.5,0.5
Almeria,1,away,La Liga,6,2,27.0,119.0,0.226890756302521,0.3333333333333333,0.6666666666666667
Almeria,1,home,La Liga,6,1,5.0,65.0,0.07692307692307693,0.16666666666666666,0.8333333333333334
Almeria,2,away,La Liga,3,1,4.0,24.0,0.16666666666666666,0.3333333333333333,0.6666666666666667
Almeria,2,home,La Liga,2,1,14.0,33.0,0.42424242424242425,0.5,0.5
Almeria,all,away,La Liga,13,5,51.0,183.0,0.2786885245901639,0.38461538461538464,0.6153846153846154
Almeria,all,home,La Liga,14,5,84.0,203.0,0.41379310344827586,0.35714285714285715,0.6428571428571428
Arsenal,0,away,Premier League,4,1,20.0,68.0,0.29411764705882354,0.25,0.75
Arsenal,0,home,Premier League,5,1,19.0,66.0,0.2878787878787879,0.2,0.8
Arsenal,1,away,Premier League,5,5,67.0,67.0,1.0,1.0,0.0
Arsenal,1,home,Premier League,5,0,0.0,82.0,0.0,0.0,1.0
Arsenal,2,away,Premier League,5,4,61.0,74.0,0.8243243243243243,0.8,0.19999999999999996
Arsenal,2,home,Premier League,5,2,21.0,78.0,0.2692307692307692,0.4,0.6
Arsenal,all,away,Premier League,14,10,148.0,209.0,0.7081339712918661,0.7142857142857143,0.2857142857142857
Arsenal,all,home,Premier League,15,3,40.0,226.0,0.17699115044247787,0.2,0.8
Aston Villa,0,away,Premier League,5,2,32.0,76.0,0.42105263157894735,0.4,0.6
Aston Villa,0,home,Premier League,3,0,0.0,45.0,0.0,0.0,1.0
Aston Villa,1,away,Premier League,4,2,41.0,71.0,0.5774647887323944,0.5,0.5
Aston Villa,1,home,Premier League,6,4,54.0,90.0,0.6,0.6666666666666666,0.33333333333333337
Aston Villa,2,away,Premier League,6,4,56.0,73.0,0.7671232876712328,0.6666666666666666,0.33333333333333337
Aston Villa,2,home,Premier League,5,2,36.0,80.0,0.45,0.4,0.6
Aston Villa,all,away,Premier League,15,8,129.0,220.0,0.5863636363636363,0.5333333333333333,0.4666666666666667
Aston Villa,all,home,Premier League,14,6,90.0,215.0,0.4186046511627907,0.42857142857142855,0.5714285714285714
Atalanta,0,away,Serie A,5,4,79.0,98.0,0.8061224489795918,0.8,0.19999999999999996
Atalanta,0,home,Serie A,4,1,11.0,41.0,0.2682926829268293,0.25,0.75
Atalanta,1,away,Serie A,5,3,38.0,64.0,0.59375,0.6,0.4
Atalanta,1,home,Serie A,5,2,33.0,74.0,0.44594594594594594,0.4,0.6
Atalanta,2,away,Serie A,5,2,4.0,62.0,0.06451612903225806,0.4,0.6
Atalanta,2,home,Serie A,4,1,20.0,67.0,0.29850746268656714,0.25,0.75
Atalanta,all,away,Serie A,15,9,121.0,224.0,0.5401785714285714,0.6,0.4
Atalanta,all,home,Serie A,13,4,64.0,182.0,0.3516483516483517,0.3076923076923077,0.6923076923076923
Ath Bilbao,0,away,La Liga,4,3,49.0,66.0,0.7424242424242424,0.75,0.25
Ath Bilbao,0,home,La Liga,4,4,65.0,65.0,1.0,1.0,0.0
Ath Bilbao,1,away,La Liga,5,3,47.0,68.0,0.6911764705882353,0.6,0.4
Ath Bilbao,1,home,La Liga,5,2,17.0,68.0,0.25,0.4,0.6
Ath Bilbao,2,away,La Liga,4,0,0.0,64.0,0.0,0.0,1.0
Ath Bilbao,2,home,La Liga,5,5,55.0,55.0,1.0,1.0,0.0
Ath Bilbao,all,away,La Liga,13,6,96.0,198.0,0.48484848484848486,0.46153846153846156,0.5384615384615384
Ath Bilbao,all,home,La Liga,14,11,137.0,188.0,0.7287234042553191,0.7857142857142857,0.2142857142857143
Ath Madrid,0,away,La Liga,4,1,9.0,48.0,0.1875,0.25,0.75
Ath Madrid,0,home,La Liga,5,4,69.0,75.0,0.92,0.8,0.19999999999999996
Ath Madrid,1,away,La Liga,6,5,88.0,100.0,0.88,0.8333333333333334,0.16666666666666663
Ath Madrid,1,home,La Liga,4,0,0.0,48.0,0.0,0.0,1.0
Ath Madrid,2,away,La Liga,3,2,4.0,21.0,0.19047619047619047,0.6666666666666666,0.33333333333333337
Ath Madrid,2,home,La Liga,5,3,60.0,94.0,0.6382978723404256,0.6,0.4
Ath Madrid,all,away,La Liga,13,8,101.0,169.0,0.5976331360946746,0.6153846153846154,0.3846153846153846
Ath Madrid,all,home,La Liga,14,7,129.0,217.0,0.5944700460829493,0.5,0.5
Augsburg,0,away,Bundesliga,5,0,0.0,74.0,0.0,0.0,1.0
Augsburg,0,home,Bundesliga,5,3,27.0,51.0,0.5294117647058824,0.6,0.4
Augsburg,1,away,Bundesliga,5,2,10.0,66.0,0.15151515151515152,0.4,0.6
Augsburg,1,home,Bundesliga,5,2,38.0,73.0,0.5205479452054794,0.4,0.6
Augsburg,2,away,Bundesliga,3,1,22.0,42.0,0.5238095238095238,0.3333333333333333,0.6666666666666667
Augsburg,2,home,Bundesliga,3,2,20.0,45.0,0.4444444444444444,0.6666666666666666,0.33333333333333337
Augsburg,all,away,Bundesliga,13,3,32.0,182.0,0.17582417582417584,0.23076923076923078,0.7692307692307692
Augsburg,all,home,Bundesliga,13,7,85.0,169.0,0.5029585798816568,0.5384615384615384,0.46153846153846156
Barcelona,0,away,La Liga,6,3,64.0,95.0,0.6736842105263158,0.5,0.5
Barcelona,0,home,La Liga,3,2,21.0,48.0,0.4375,0.6666666666666666,0.33333333333333337
Barcelona,1,away,La Liga,5,4,35.0,49.0,0.7142857142857143,0.8,0.19999999999999996
Barcelona,1,home,La Liga,4,4,53.0,53.0,1.0,1.0,0.0
Barcelona,2,away,La Liga,3,3,64.0,64.0,1.0,1.0,0.0
Barcelona,2,home,La Liga,6,5,65.0,80.0,0.8125,0.8333333333333334,0.16666666666666663
Barcelona,all,away,La Liga,14,10,163.0,208.0,0.7836538461538461,0.7142857142857143,0.2857142857142857
Barcelona,all,home,La Liga,13,11,139.0,181.0,0.7679558011049724,0.8461538461538461,0.15384615384615385
Bayern Munich,0,away,Bundesliga,5,0,0.0,56.0,0.0,0.0,1.0
Bayern Munich,0,home,Bundesliga,5,3,40.0,84.0,0.47619047619047616,0.6,0.4
Bayern Munich,1,away,Bundesliga,4,2,18.0,58.0,0.3103448275862069,0.5,0.5
