main_team,team_group,competition,n_matches,avg_goal_fatti,avg_goal_subiti
Almeria,0,La Liga,10,0.7,2.1
Almeria,1,La Liga,12,1.5,1.75
Almeria,2,La Liga,6,1.5,1.0
Almeria,all,La Liga,28,1.2142857142857142,1.7142857142857142
Arsenal,0,Premier League,9,2.2222222222222223,1.5555555555555556
Arsenal,1,Premier League,11,2.3636363636363638,0.7272727272727273
Arsenal,2,Premier League,10,2.6,0.7
Arsenal,all,Premier League,30,2.4,0.9666666666666667
Aston Villa,0,Premier League,8,1.5,2.0
Aston Villa,1,Premier League,10,1.1,1.4
Aston Villa,2,Premier League,12,1.5,0.8333333333333334
Aston Villa,all,Premier League,30,1.3666666666666667,1.3333333333333333
Atalanta,0,Serie A,9,1.1111111111111112,1.6666666666666667
Atalanta,1,Serie A,11,1.4545454545454546,0.8181818181818182
Atalanta,2,Serie A,9,2.3333333333333335,1.1111111111111112
Atalanta,all,Serie A,29,1.6206896551724137,1.1724137931034482
Ath Bilbao,0,La Liga,8,0.25,1.5
Ath Bilbao,1,La Liga,10,1.5,1.0
Ath Bilbao,2,La Liga,10,2.1,0.7
Ath Bilbao,all,La Liga,28,1.3571428571428572,1.0357142857142858
Ath Madrid,0,La Liga,9,0.8888888888888888,0.8888888888888888
Ath Madrid,1,La Liga,11,2.0,0.8181818181818182
Ath Madrid,2,La Liga,8,1.875,0.375
Ath Madrid,all,La Liga,28,1.6071428571428572,0.7142857142857143
Augsburg,0,Bundesliga,10,1.7,2.4
Augsburg,1,Bundesliga,11,1.1818181818181819,1.4545454545454546
Augsburg,2,Bundesliga,6,0.8333333333333334,1.6666666666666667
Augsburg,all,Bundesliga,27,1.2962962962962963,1.8518518518518519
Barcelona,0,La Liga,9,2.111111111111111,0.6666666666666666
Barcelona,1,La Liga,10,1.7,0.1
Barcelona,2,La Liga,9,1.8888888888888888,0.2222222222222222
Barcelona,all,La Liga,28,1.8928571428571428,0.32142857142857145
Bayern Munich,0,Bundesliga,11,2.6363636363636362,0.9090909090909091
Bayern Munich,1,Bundesliga,10,2.9,1.4
Bayern Munich,2,Bundesliga,6,3.1666666666666665,0.8333333333333334
Bayern Munich,all,Bundesliga,27,2.8518518518518516,1.0740740740740742
Betis,0,La Liga,9,0.7777777777777778,0.8888888888888888
Betis,1,La Liga,10,1.2,1.1
Betis,2,La Liga,9,1.6666666666666667,1.1111111111111112
Betis,all,La Liga,28,1.2142857142857142,1.0357142857142858
Bochum,0,Bundesliga,11,0.6363636363636364,2.1818181818181817
Bochum,1,Bundesliga,11,1.4545454545454546,2.090909090909091
Bochum,2,Bundesliga,5,1.4,2.6
Bochum,all,Bundesliga,27,1.1111111111111112,2.2222222222222223
Bologna,0,Serie A,10,0.8,1.9
Bologna,1,Serie A,10,1.6,0.8
Bologna,2,Serie A,9,1.5555555555555556,1.0
Bologna,all,Serie A,29,1.3103448275862069,1.2413793103448276
Bournemouth,0,Premier League,12,0.75,2.3333333333333335
Bournemouth,1,Premier League,11,0.5454545454545454,1.8181818181818181
Bournemouth,2,Premier League,7,1.8571428571428572,1.2857142857142858
Bournemouth,all,Premier League,30,0.9333333333333333,1.9
Brentford,0,Premier League,11,1.4545454545454546,2.0
Brentford,1,Premier League,8,1.625,1.125
Brentford,2,Premier League,11,1.6363636363636365,0.8181818181818182
Brentford,all,Premier League,30,1.5666666666666667,1.3333333333333333
Brighton,0,Premier League,7,1.0,1.8571428571428572
Brighton,1,Premier League,12,2.0833333333333335,1.25
Brighton,2,Premier League,9,2.2222222222222223,0.8888888888888888
Brighton,all,Premier League,28,1.8571428571428572,1.2857142857142858
Cadiz,0,La Liga,11,0.6363636363636364,1.7272727272727273
Cadiz,1,La Liga,9,0.7777777777777778,1.5555555555555556
Cadiz,2,La Liga,8,1.125,0.875
Cadiz,all,La Liga,28,0.8214285714285714,1.4285714285714286
Celta,0,La Liga,10,1.1,1.7
Celta,1,La Liga,9,1.2222222222222223,0.6666666666666666
Celta,2,La Liga,9,1.5555555555555556,1.7777777777777777
Celta,all,La Liga,28,1.2857142857142858,1.3928571428571428
Chelsea,0,Premier League,9,0.6666666666666666,1.5555555555555556
Chelsea,1,Premier League,11,0.9090909090909091,0.5454545454545454
Chelsea,2,Premier League,10,1.3,1.1
Chelsea,all,Premier League,30,0.9666666666666667,1.0333333333333334
Cremonese,0,Serie A,11,0.6363636363636364,2.090909090909091
Cremonese,1,Serie A,11,1.0,1.7272727272727273
Cremonese,2,Serie A,7,1.1428571428571428,1.7142857142857142
Cremonese,all,Serie A,29,0.896551724137931,1.8620689655172413
Crystal Palace,0,Premier League,13,0.6923076923076923,1.6923076923076923
Crystal Palace,1,Premier League,9,0.8888888888888888,1.2222222222222223
Crystal Palace,2,Premier League,8,1.5,0.875
Crystal Palace,all,Premier League,30,0.9666666666666667,1.3333333333333333
Dortmund,0,Bundesliga,11,1.9090909090909092,1.4545454545454546
Dortmund,1,Bundesliga,10,2.2,1.7
Dortmund,2,Bundesliga,6,2.6666666666666665,0.5
Dortmund,all,Bundesliga,27,2.185185185185185,1.3333333333333333
Ein Frankfurt,0,Bundesliga,10,1.7,1.8
Ein Frankfurt,1,Bundesliga,10,1.9,1.5
Ein Frankfurt,2,Bundesliga,7,1.7142857142857142,1.0
Ein Frankfurt,all,Bundesliga,27,1.7777777777777777,1.4814814814814814
Elche,0,La Liga,12,0.5,2.8333333333333335
Elche,1,La Liga,9,0.7777777777777778,1.4444444444444444
Elche,2,La Liga,7,1.0,1.4285714285714286
Elche,all,La Liga,28,0.7142857142857143,2.0357142857142856
Empoli,0,Serie A,11,0.5454545454545454,1.9090909090909092
Empoli,1,Serie A,10,0.9,0.8
Empoli,2,Serie A,8,1.25,0.875
Empoli,all,Serie A,29,0.8620689655172413,1.2413793103448276
Espanol,0,La Liga,10,1.0,1.6
Espanol,1,La Liga,11,1.2727272727272727,1.8181818181818181
Espanol,2,La Liga,7,1.4285714285714286,1.4285714285714286
Espanol,all,La Liga,28,1.2142857142857142,1.6428571428571428
Everton,0,Premier League,11,0.5454545454545454,1.9090909090909092
Everton,1,Premier League,11,0.8181818181818182,0.9090909090909091
Everton,2,Premier League,8,1.0,1.5
Everton,all,Premier League,30,0.7666666666666667,1.4333333333333333
FC Koln,0,Bundesliga,11,1.0909090909090908,1.5454545454545454
FC Koln,1,Bundesliga,9,2.2222222222222223,2.111111111111111
FC Koln,2,Bundesliga,7,0.5714285714285714,1.2857142857142858
FC Koln,all,Bundesliga,27,1.3333333333333333,1.6666666666666667
Fiorentina,0,Serie A,11,0.8181818181818182,1.5454545454545454
Fiorentina,1,Serie A,8,0.75,1.125
Fiorentina,2,Serie A,10,1.9,0.6
Fiorentina,all,Serie A,29,1.1724137931034482,1.103448275862069
Freiburg,0,Bundesliga,9,1.3333333333333333,2.4444444444444446
Freiburg,1,Bundesliga,11,1.4545454545454546,0.9090909090909091
Freiburg,2,Bundesliga,7,1.5714285714285714,0.5714285714285714
Freiburg,all,Bundesliga,27,1.4444444444444444,1.3333333333333333
Fulham,0,Premier League,11,1.0,1.6363636363636365
Fulham,1,Premier League,10,1.4,1.3
Fulham,2,Premier League,8,1.75,1.125
Fulham,all,Premier League,29,1.3448275862068966,1.3793103448275863
Getafe,0,La Liga,11,0.5454545454545454,1.2727272727272727
Getafe,1,La Liga,11,1.3636363636363635,1.0
Getafe,2,La Liga,6,1.0,1.8333333333333333
Getafe,all,La Liga,28,0.9642857142857143,1.2857142857142858
Girona,0,La Liga,10,1.1,1.6
Girona,1,La Liga,8,1.125,1.375
Girona,2,La Liga,10,2.2,1.5
Girona,all,La Liga,28,1.5,1.5
Hertha,0,Bundesliga,13,1.0,2.3076923076923075
Hertha,1,Bundesliga,11,1.2727272727272727,1.2727272727272727
Hertha,2,Bundesliga,3,1.3333333333333333,2.0
Hertha,all,Bundesliga,27,1.1481481481481481,1.8518518518518519
Hoffenheim,0,Bundesliga,10,0.9,1.9
Hoffenheim,1,Bundesliga,10,1.2,1.6
Hoffenheim,2,Bundesliga,7,2.2857142857142856,1.5714285714285714
Hoffenheim,all,Bundesliga,27,1.3703703703703705,1.7037037037037037
Inter,0,Serie A,8,1.125,1.625
Inter,1,Serie A,10,1.9,1.4
Inter,2,Serie A,11,1.8181818181818181,0.5454545454545454
Inter,all,Serie A,29,1.6551724137931034,1.1379310344827587
Juventus,0,Serie A,9,1.3333333333333333,1.5555555555555556
Juventus,1,Serie A,10,1.8,0.6
Juventus,2,Serie A,10,1.7,0.4
Juventus,all,Serie A,29,1.6206896551724137,0.8275862068965517
Lazio,0,Serie A,10,1.5,0.9
Lazio,1,Serie A,10,1.4,0.4
Lazio,2,Serie A,9,1.8888888888888888,0.7777777777777778
Lazio,all,Serie A,29,1.5862068965517242,0.6896551724137931
Lecce,0,Serie A,11,1.1818181818181819,1.4545454545454546
Lecce,1,Serie A,11,0.36363636363636365,1.1818181818181819
Lecce,2,Serie A,7,1.1428571428571428,0.8571428571428571
Lecce,all,Serie A,29,0.8620689655172413,1.206896551724138
Leeds,0,Premier League,11,0.9090909090909091,1.9090909090909092
Leeds,1,Premier League,11,1.7272727272727273,2.0
Leeds,2,Premier League,8,1.25,1.375
Leeds,all,Premier League,30,1.3,1.8
Leicester,0,Premier League,12,1.4166666666666667,2.5833333333333335
Leicester,1,Premier League,10,1.3,1.3
Leicester,2,Premier League,8,1.25,1.0
Leicester,all,Premier League,30,1.3333333333333333,1.7333333333333334
Leverkusen,0,Bundesliga,10,1.4,2.0
Leverkusen,1,Bundesliga,11,1.8181818181818181,1.6363636363636365
Leverkusen,2,Bundesliga,6,2.8333333333333335,0.5
Leverkusen,all,Bundesliga,27,1.8888888888888888,1.5185185185185186
Liverpool,0,Premier League,12,2.1666666666666665,1.6666666666666667
Liverpool,1,Premier League,9,0.7777777777777778,1.0
Liverpool,2,Premier League,8,2.125,0.75
Liverpool,all,Premier League,29,1.7241379310344827,1.206896551724138
M'gladbach,0,Bundesliga,10,1.5,1.6
M'gladbach,1,Bundesliga,11,1.7272727272727273,1.7272727272727273
M'gladbach,2,Bundesliga,6,1.3333333333333333,1.5
M'gladbach,all,Bundesliga,27,1.5555555555555556,1.6296296296296295
Mainz,0,Bundesliga,11,1.2727272727272727,1.8181818181818181
Mainz,1,Bundesliga,10,2.1,1.1
Mainz,2,Bundesliga,6,1.6666666666666667,1.1666666666666667
Mainz,all,Bundesliga,27,1.6666666666666667,1.4074074074074074
Mallorca,0,La Liga,11,1.0,1.0909090909090908
Mallorca,1,La Liga,8,0.5,0.875
Mallorca,2,La Liga,9,1.1111111111111112,1.2222222222222223
Mallorca,all,La Liga,28,0.8928571428571429,1.0714285714285714
Man City,0,Premier League,10,2.6,1.5
Man City,1,Premier League,10,2.1,0.7
Man City,2,Premier League,9,3.111111111111111,0.5555555555555556
Man City,all,Premier League,29,2.586206896551724,0.9310344827586207
Man United,0,Premier League,9,1.5555555555555556,2.0
Man United,1,Premier League,10,1.1,1.6
Man United,2,Premier League,10,1.9,0.3
Man United,all,Premier League,29,1.5172413793103448,1.2758620689655173
Milan,0,Serie A,9,1.6666666666666667,1.3333333333333333
Milan,1,Serie A,13,1.6923076923076923,1.3076923076923077
Milan,2,Serie A,7,1.5714285714285714,1.0
Milan,all,Serie A,29,1.6551724137931034,1.2413793103448276
Monza,0,Serie A,10,0.6,1.9
Monza,1,Serie A,9,1.1111111111111112,1.3333333333333333
Monza,2,Serie A,10,1.8,1.0
Monza,all,Serie A,29,1.1724137931034482,1.4137931034482758
Napoli,0,Serie A,10,1.6,1.1
Napoli,1,Serie A,10,2.7,0.5
Napoli,2,Serie A,9,2.5555555555555554,0.5555555555555556
Napoli,all,Serie A,29,2.2758620689655173,0.7241379310344828
Newcastle,0,Premier League,8,1.375,0.75
Newcastle,1,Premier League,13,1.7692307692307692,0.8461538461538461
Newcastle,2,Premier League,8,1.75,0.5
Newcastle,all,Premier League,29,1.6551724137931034,0.7241379310344828
Nott'm Forest,0,Premier League,11,0.36363636363636365,2.4545454545454546
Nott'm Forest,1,Premier League,10,0.9,1.4
Nott'm Forest,2,Premier League,9,1.2222222222222223,1.4444444444444444
Nott'm Forest,all,Premier League,30,0.8,1.8
Osasuna,0,La Liga,9,0.2222222222222222,1.5555555555555556
Osasuna,1,La Liga,9,1.4444444444444444,0.6666666666666666
Osasuna,2,La Liga,10,0.9,0.8
Osasuna,all,La Liga,28,0.8571428571428571,1.0
RB Leipzig,0,Bundesliga,9,1.5555555555555556,1.4444444444444444
RB Leipzig,1,Bundesliga,11,1.7272727272727273,1.2727272727272727
RB Leipzig,2,Bundesliga,7,2.4285714285714284,0.8571428571428571
RB Leipzig,all,Bundesliga,27,1.8518518518518519,1.2222222222222223
Real Madrid,0,La Liga,10,1.4,1.1
Real Madrid,1,La Liga,9,2.111111111111111,1.1111111111111112
Real Madrid,2,La Liga,9,2.888888888888889,0.3333333333333333
Real Madrid,all,La Liga,28,2.107142857142857,0.8571428571428571
Roma,0,Serie A,9,0.7777777777777778,1.1111111111111112
Roma,1,Serie A,10,1.6,1.1
Roma,2,Serie A,10,1.6,0.5
Roma,all,Serie A,29,1.3448275862068966,0.896551724137931
Salernitana,0,Serie A,11,0.9090909090909091,2.272727272727273
Salernitana,1,Serie A,9,1.1111111111111112,1.7777777777777777
Salernitana,2,Serie A,9,1.4444444444444444,0.8888888888888888
Salernitana,all,Serie A,29,1.1379310344827587,1.6896551724137931
Sampdoria,0,Serie A,12,0.3333333333333333,1.75
Sampdoria,1,Serie A,9,0.6666666666666666,1.6666666666666667
Sampdoria,2,Serie A,8,1.0,1.75
Sampdoria,all,Serie A,29,0.6206896551724138,1.7241379310344827
Sassuolo,0,Serie A,11,1.1818181818181819,1.9090909090909092
Sassuolo,1,Serie A,8,0.875,1.625
Sassuolo,2,Serie A,10,1.7,0.9
Sassuolo,all,Serie A,29,1.2758620689655173,1.4827586206896552
Schalke 04,0,Bundesliga,10,0.4,2.9
Schalke 04,1,Bundesliga,12,0.6666666666666666,1.3333333333333333
Schalke 04,2,Bundesliga,5,1.8,1.0
