position,playedGames,form,won,draw,lost,points,goalsFor,goalsAgainst,goalDifference,team_short_name,team_group,competition
1,30,,24,3,3,75,66,21,45,Napoli,0,Serie A
2,30,,18,7,5,61,49,20,29,Lazio,0,Serie A
3,30,,17,5,8,56,42,26,16,Roma,0,Serie A
4,30,,15,8,7,53,49,37,12,Milan,0,Serie A
5,30,,16,3,11,51,48,34,14,Inter,0,Serie A
6,30,,14,7,9,49,48,35,13,Atalanta,0,Serie A
7,30,,18,5,7,44,47,25,22,Juventus,0,Serie A
8,30,,12,8,10,44,39,37,2,Bologna,1,Serie A
9,30,,11,9,10,42,35,33,2,Fiorentina,1,Serie A
10,30,,11,7,12,40,38,43,-5,Sassuolo,1,Serie A
11,30,,10,9,11,39,31,36,-5,Torino,1,Serie A
12,30,,9,12,9,39,39,39,0,Udinese,1,Serie A
13,30,,10,8,12,38,35,41,-6,Monza,1,Serie A
14,30,,7,11,12,32,25,37,-12,Empoli,1,Serie A
15,30,,6,12,12,30,34,50,-16,Salernitana,2,Serie A
16,30,,6,10,14,28,26,36,-10,Lecce,2,Serie A
17,30,,5,11,14,26,25,48,-23,Spezia,2,Serie A
18,30,,5,8,17,23,24,43,-19,Verona,2,Serie A
19,30,,3,10,17,19,27,54,-27,Cremonese,2,Serie A
20,30,,3,7,20,16,19,51,-32,Sampdoria,2,Serie A
1,28,"D,W,W,L,W",17,8,3,59,78,30,48,Bayern Munich,0,Bundesliga
2,28,"D,W,L,W,D",18,3,7,57,62,39,23,Dortmund,0,Bundesliga
3,28,"D,L,W,W,D",15,7,6,52,43,31,12,Union Berlin,0,Bundesliga
4,28,"W,W,L,L,W",15,6,7,51,53,35,18,RB Leipzig,0,Bundesliga
5,28,"W,L,D,D,W",14,8,6,50,41,37,4,Freiburg,0,Bundesliga
6,28,"D,W,W,W,W",13,5,10,44,51,41,10,Leverkusen,0,Bundesliga
7,28,"D,L,D,L,D",11,9,8,42,49,41,8,Ein Frankfurt,0,Bundesliga
8,28,"D,D,W,D,D",11,9,8,42,46,39,7,Mainz,1,Bundesliga
9,28,"D,L,D,W,D",10,10,8,40,46,36,10,Wolfsburg,1,Bundesliga
10,28,"D,W,D,D,L",9,9,10,36,43,45,-2,M'gladbach,1,Bundesliga
11,28,"D,W,D,L,L",7,11,10,32,37,46,-9,FC Koln,1,Bundesliga
12,28,"L,D,L,D,L",9,5,14,32,43,54,-11,Werder Bremen,1,Bundesliga
13,28,"D,W,W,W,L",8,5,15,29,38,47,-9,Hoffenheim,1,Bundesliga
14,28,"L,L,D,D,L",8,5,15,29,37,53,-16,Augsburg,1,Bundesliga
15,28,"D,L,D,W,W",8,3,17,27,31,61,-30,Bochum,2,Bundesliga
16,28,"D,W,L,L,D",5,9,14,24,35,50,-15,Stuttgart,2,Bundesliga
17,28,"W,L,L,D,D",5,9,14,24,26,52,-26,Schalke 04,2,Bundesliga
18,28,"L,L,D,L,D",5,7,16,22,33,55,-22,Hertha,2,Bundesliga
1,29,"D,D,W,W,W",23,4,2,73,53,9,44,Barcelona,0,La Liga
2,29,"W,L,W,L,W",19,5,5,62,61,24,37,Real Madrid,0,La Liga
3,29,"W,W,W,W,W",18,6,5,60,47,21,26,Ath Madrid,0,La Liga
4,29,"L,W,L,W,D",15,6,8,51,37,28,9,Sociedad,0,La Liga
5,29,"W,L,L,W,D",14,6,9,48,37,30,7,Betis,0,La Liga
6,29,"L,W,W,W,D",14,5,10,47,38,28,10,Villarreal,0,La Liga
7,29,"W,W,D,W,L",12,7,10,43,40,29,11,Ath Bilbao,0,La Liga
8,29,"W,L,D,D,L",10,10,9,40,35,34,1,Vallecano,1,La Liga
9,29,"W,D,W,D,L",10,8,11,38,44,42,2,Girona,1,La Liga
10,29,"L,W,D,L,L",10,8,11,38,25,30,-5,Osasuna,1,La Liga
11,29,"W,D,D,L,D",10,7,12,37,26,30,-4,Mallorca,1,La Liga
12,29,"L,D,D,W,W",9,9,11,36,36,40,-4,Celta,1,La Liga
13,29,"W,D,W,L,W",9,8,12,35,35,44,-9,Sevilla,1,La Liga
14,29,"W,D,L,L,D",9,5,15,32,25,48,-23,Valladolid,1,La Liga
15,29,"D,L,D,W,D",7,10,12,31,27,36,-9,Getafe,2,La Liga
16,29,"L,W,L,D,D",7,10,12,31,23,42,-19,Cadiz,2,La Liga
17,29,"L,W,D,D,L",8,6,15,30,35,50,-15,Almeria,2,La Liga
18,29,"L,L,D,L,W",7,6,16,27,30,36,-6,Valencia,2,La Liga
19,29,"L,L,L,L,L",6,9,14,27,35,49,-14,Espanol,2,La Liga
20,29,"L,L,L,L,D",2,7,20,13,20,59,-39,Elche,2,La Liga
1,31,"D,D,W,W,W",23,5,3,74,74,31,43,Arsenal,0,Premier League
2,30,"W,W,W,W,W",22,4,4,70,78,28,50,Man City,0,Premier League
3,30,"W,W,W,L,D",18,5,7,59,46,37,9,Man United,0,Premier League
4,30,"L,W,W,W,W",15,11,4,56,48,24,24,Newcastle,0,Premier League
5,31,"L,W,D,D,W",16,5,10,53,57,45,12,Tottenham,0,Premier League
6,31,"W,W,W,W,W",15,5,11,50,44,40,4,Aston Villa,0,Premier League
