main_team,team_group,competition,n_matches,team_has_scored,team_has_conceded_goal,team_has_scored_streak_weighted,team_has_conceded_goal_streak_weighted,tot_giornata,team_has_scored_streak_weighted_ratio,team_has_conceded_goal_streak_weighted_ratio,team_has_conceded_goal_ratio,team_has_scored_ratio
Almeria,0,La Liga,11,7,10,114.0,151.0,175.0,0.6514285714285715,0.8628571428571429,0.9090909090909091,0.6363636363636364
Almeria,1,La Liga,11,7,11,110.0,146.0,146.0,0.7534246575342466,1.0,1.0,0.6363636363636364
Almeria,2,La Liga,7,7,6,124.0,110.0,124.0,1.0,0.8870967741935484,0.8571428571428571,1.0
Almeria,all,La Liga,29,21,27,348.0,407.0,445.0,0.7820224719101123,0.9146067415730337,0.9310344827586207,0.7241379310344828
Arsenal,0,Premier League,9,8,7,115.0,95.0,134.0,0.8582089552238806,0.7089552238805971,0.7777777777777778,0.8888888888888888
Arsenal,1,Premier League,12,12,6,192.0,122.0,192.0,1.0,0.6354166666666666,0.5,1.0
Arsenal,2,Premier League,10,9,6,150.0,115.0,172.0,0.872093023255814,0.6686046511627907,0.6,0.9
Arsenal,all,Premier League,31,29,19,457.0,332.0,498.0,0.9176706827309237,0.6666666666666666,0.6129032258064516,0.9354838709677419
Aston Villa,0,Premier League,9,8,7,139.0,103.0,153.0,0.9084967320261438,0.673202614379085,0.7777777777777778,0.8888888888888888
Aston Villa,1,Premier League,10,7,6,135.0,63.0,159.0,0.8490566037735849,0.39622641509433965,0.6,0.7
Aston Villa,2,Premier League,12,10,7,173.0,92.0,186.0,0.9301075268817204,0.4946236559139785,0.5833333333333334,0.8333333333333334
Aston Villa,all,Premier League,31,25,20,447.0,258.0,498.0,0.8975903614457831,0.5180722891566265,0.6451612903225806,0.8064516129032258
Atalanta,0,Serie A,9,6,7,78.0,110.0,139.0,0.5611510791366906,0.7913669064748201,0.7777777777777778,0.6666666666666666
Atalanta,1,Serie A,12,9,8,122.0,147.0,197.0,0.6192893401015228,0.7461928934010152,0.6666666666666666,0.75
Atalanta,2,Serie A,9,9,6,129.0,105.0,129.0,1.0,0.813953488372093,0.6666666666666666,1.0
Atalanta,all,Serie A,30,24,21,329.0,362.0,465.0,0.7075268817204301,0.7784946236559139,0.7,0.8
Ath Bilbao,0,La Liga,9,3,6,59.0,104.0,161.0,0.36645962732919257,0.6459627329192547,0.6666666666666666,0.3333333333333333
Ath Bilbao,1,La Liga,10,6,6,92.0,97.0,153.0,0.6013071895424836,0.6339869281045751,0.6,0.6
Ath Bilbao,2,La Liga,10,8,6,99.0,91.0,131.0,0.7557251908396947,0.6946564885496184,0.6,0.8
Ath Bilbao,all,La Liga,29,17,18,250.0,292.0,445.0,0.5617977528089888,0.6561797752808989,0.6206896551724138,0.5862068965517241
