main_team,team_group,competition,n_matches,avg_win,avg_draw,avg_loss,win_streak_weighted,draw_streak_weighted,loss_streak_weighted,tot_giornata,win_streak_weighted_ratio,draw_streak_weighted_ratio,loss_streak_weighted_ratio
Almeria,0,La Liga,10,0.1,0.1,0.8,24.0,17.0,104.0,145.0,0.16551724137931034,0.11724137931034483,0.7172413793103448
Almeria,1,La Liga,11,0.45454545454545453,0.09090909090909091,0.45454545454545453,47.0,28.0,81.0,156.0,0.30128205128205127,0.1794871794871795,0.5192307692307693
Almeria,2,La Liga,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,19.0,62.0,4.0,85.0,0.2235294117647059,0.7294117647058823,0.047058823529411764
Almeria,all,La Liga,27,0.25925925925925924,0.2222222222222222,0.5185185185185185,90.0,107.0,189.0,386.0,0.23316062176165803,0.2772020725388601,0.4896373056994819
Arsenal,0,Premier League,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,97.0,19.0,18.0,134.0,0.7238805970149254,0.1417910447761194,0.13432835820895522
Arsenal,1,Premier League,11,0.9090909090909091,0.09090909090909091,0.0,149.0,23.0,0.0,172.0,0.8662790697674418,0.13372093023255813,0.0
Arsenal,2,Premier League,9,0.7777777777777778,0.1111111111111111,0.1111111111111111,94.0,13.0,22.0,129.0,0.7286821705426356,0.10077519379844961,0.17054263565891473
Arsenal,all,Premier League,29,0.7931034482758621,0.10344827586206896,0.10344827586206896,340.0,55.0,40.0,435.0,0.7816091954022989,0.12643678160919541,0.09195402298850575
Aston Villa,0,Premier League,8,0.375,0.125,0.5,49.0,6.0,66.0,121.0,0.4049586776859504,0.049586776859504134,0.5454545454545454
Aston Villa,1,Premier League,10,0.4,0.2,0.4,88.0,28.0,43.0,159.0,0.5534591194968553,0.1761006289308176,0.27044025157232704
Aston Villa,2,Premier League,11,0.5454545454545454,0.18181818181818182,0.2727272727272727,91.0,37.0,27.0,155.0,0.5870967741935483,0.23870967741935484,0.17419354838709677
Aston Villa,all,Premier League,29,0.4482758620689655,0.1724137931034483,0.3793103448275862,228.0,71.0,136.0,435.0,0.5241379310344828,0.1632183908045977,0.31264367816091954
Atalanta,0,Serie A,9,0.2222222222222222,0.2222222222222222,0.5555555555555556,29.0,21.0,89.0,139.0,0.20863309352517986,0.1510791366906475,0.6402877697841727
Atalanta,1,Serie A,10,0.7,0.2,0.1,83.0,34.0,21.0,138.0,0.6014492753623188,0.2463768115942029,0.15217391304347827
Atalanta,2,Serie A,9,0.5555555555555556,0.2222222222222222,0.2222222222222222,70.0,22.0,37.0,129.0,0.5426356589147286,0.17054263565891473,0.2868217054263566
Atalanta,all,Serie A,28,0.5,0.21428571428571427,0.2857142857142857,182.0,77.0,147.0,406.0,0.4482758620689655,0.1896551724137931,0.3620689655172414
